"scientific_name","family","taxonrank","gbif_rec"
"Sturnira tildae de la Torre, 1959","Phyllostomidae","SPECIES","2"
"Artibeus phaeotis phaeotis","Phyllostomidae","SUBSPECIES","2"
"Tayassu G.Fischer","Tayassuidae","GENUS","2"
"Tayassu pecari (Link, 1795)","Tayassuidae","SPECIES","2"
"Artibeus lituratus palmarum J.A.Allen & Chapman, 1897","Phyllostomidae","SUBSPECIES","2"
"Artibeus hartii Thomas, 1892","Phyllostomidae","SPECIES","2"
"Thyroptera Spix, 1823","Thyropteridae","GENUS","2"
"Tonatia Gray, 1827","Phyllostomidae","GENUS","2"
"Aotus zonalis Goldman, 1914","Aotidae","SPECIES","2"
"Tylomys mirae Thomas, 1899","Cricetidae","SPECIES","2"
"Anoura aequatoris (Lönnberg, 1921)","Phyllostomidae","SPECIES","2"
"Marmosa robinsoni Bangs, 1898","Didelphidae","SPECIES","2"
"Rhynchonycteris naso (Wied-Neuwied, 1820)","Emballonuridae","SPECIES","1"
"Dermanura bogotensis (K.Andersen, 1906)","Phyllostomidae","SPECIES","1"
"Philander opossum fuscogriseus (J.A.Allen, 1900)","Didelphidae","SUBSPECIES","1"
"Saccopteryx Illiger, 1811","Emballonuridae","GENUS","1"
"Alouatta Lacépède, 1799","Atelidae","GENUS","1"
"Saguinus leucopus (Günther, 1877)","Callitrichidae","SPECIES","1"
"Sciurus granatensis hoffmanni Peters, 1863","Sciuridae","SUBSPECIES","1"
"Dermanura watsoni (Thomas, 1901)","Phyllostomidae","SPECIES","1"
"Holochilus Brandt, 1835","Cricetidae","GENUS","1"
"Peropteryx macrotis (Wagner, 1843)","Emballonuridae","SPECIES","1"
"Peropteryx leucoptera Peters, 1867","Emballonuridae","SPECIES","1"
"Cervidae","Cervidae","FAMILY","1"
"Sigmodon hirsutus (Burmeister, 1854)","Cricetidae","SPECIES","1"
"Diclidurus Wied-Neuwied, 1820","Emballonuridae","GENUS","1"
"Speothos venaticus (Lund, 1842)","Canidae","SPECIES","1"
"Peropteryx kappleri kappleri","Emballonuridae","SUBSPECIES","1"
"Sturnira bakeri Velazco & Patterson, 2014","Phyllostomidae","SPECIES","1"
"Cebus capucinus capucinus","Cebidae","SUBSPECIES","1"
"Didelphidae","Didelphidae","FAMILY","1"
"Cavia porcellus (Linnaeus, 1758)","Caviidae","SPECIES","1"
"Didelphis marsupialis marsupialis","Didelphidae","SUBSPECIES","1"
"Panthera leo (Linnaeus, 1758)","Felidae","SPECIES","1"
"Bradypus variegatus ephippiger Philippi, 1870","Bradypodidae","SUBSPECIES","1"
"Bos primigenius Bojanus, 1827","Bovidae","SPECIES","1"
"Didelphis virginiana Kerr, 1792","Didelphidae","SPECIES","1"
"Oecomys trinitatis (J.A.Allen & Chapman, 1893)","Cricetidae","SPECIES","1"
"Oecomys Thomas, 1906","Cricetidae","GENUS","1"
"Emballonuridae","Emballonuridae","FAMILY","1"
"Odocoileus virginianus (Zimmermann, 1780)","Cervidae","SPECIES","1"
"Vampyrops dorsalis Thomas, 1900","Phyllostomidae","SPECIES","1"
