"scientific_name","family","gbif_rec"
"Verbesina arborea Kunth","Asteraceae","45"
"Philodendron striatum Croat & D.C.Bay","Araceae","44"
"Clusia fructiangusta Cuatrec.","Clusiaceae","44"
"Philodendron heterocraspedon Croat & D.C.Bay","Araceae","44"
"Allamanda cathartica L.","Apocynaceae","44"
"Tabernaemontana amygdalifolia Jacq.","Apocynaceae","44"
"Aegiphila Jacq.","Lamiaceae","44"
"Coccocypselum lanceolatum (Ruiz & Pav.) Pers.","Rubiaceae","44"
"Renealmia cernua (Sw. ex Roem. & Schult.) J.F.Macbr.","Zingiberaceae","44"
"Gaultheria sclerophylla Cuatrec.","Ericaceae","44"
"Pouteria collina (Little) T.D.Penn.","Sapotaceae","44"
"Stenocereus humilis (Britton & Rose) D.R.Hunt","Cactaceae","44"
"Hasseltia floribunda Kunth","Salicaceae","44"
"Maytenus Molina","Celastraceae","44"
"Senna Mill.","Fabaceae","44"
"Alchornea grandiflora Müll.Arg.","Euphorbiaceae","43"
"Araceae","Araceae","43"
