"scientific_name","family","taxonrank","gbif_rec"
"Diasporus lynchi Ospina-Sarria, Velasquez-Trujillo, Castaño-Saavedra, Castillo & Bolívar-G., 2022","Eleutherodactylidae","SPECIES","1"
"Dendrobates truncatus (Cope, 1861)","Dendrobatidae","SPECIES","1"
"Atelopus eusebianus Rivero & Granados-Díaz, 1993","Bufonidae","SPECIES","1"
"Pristimantis simoteriscus (Lynch, Ruiz-Carranza & Ardila-Robayo, 1997)","Craugastoridae","SPECIES","1"
"Cochranella armata Lynch & Ruiz-Carranza, 1996","Centrolenidae","SPECIES","1"
"Centrolenidae","Centrolenidae","FAMILY","1"
"Centrolene quindianum Ruiz-Carranza & Lynch, 1995","Centrolenidae","SPECIES","1"
"Centrolene peristictum (Lynch & Duellman, 1973)","Centrolenidae","SPECIES","1"
"Caecilia orientalis Taylor, 1968","Caeciliidae","SPECIES","1"
"Pristimantis walkeri (Lynch, 1974)","Craugastoridae","SPECIES","1"
"Rana palmipes Spix, 1824","Ranidae","SPECIES","1"
"Rana vaillanti Brocchi, 1877","Ranidae","SPECIES","1"
"Ranitomeya Bauer, 1986","Dendrobatidae","GENUS","1"
"Caecilia occidentalis Taylor, 1968","Caeciliidae","SPECIES","1"
"Rhaebo Cope, 1862","Bufonidae","GENUS","1"
"Caecilia guntheri Dunn, 1942","Caeciliidae","SPECIES","1"
"Bufo typhonius alatus Thominot, 1884","Bufonidae","SUBSPECIES","1"
"Bufo typhonius (Linnaeus, 1758)","Hylidae","SPECIES","1"
"BOLD:ACV5651","Eleutherodactylidae","UNRANKED","1"
"BOLD:ACI2592","Craugastoridae","UNRANKED","1"
"BOLD:ACI1829","Craugastoridae","UNRANKED","1"
"BOLD:ACH7224","Craugastoridae","UNRANKED","1"
"Sachatamia albomaculata (Taylor, 1949)","Centrolenidae","SPECIES","1"
"Sachatamia Guayasamin, Castroviejo-Fisher, Trueb, Ayarzagüena, Rada & Vilà, 2009","Centrolenidae","GENUS","1"
"BOLD:ACH5903","Craugastoridae","UNRANKED","1"
"BOLD:ACH5902","Craugastoridae","UNRANKED","1"
"BOLD:AAX8131","Craugastoridae","UNRANKED","1"
"Scinax rostratus (Peters, 1863)","Hylidae","SPECIES","1"
"Anura",NULL,"ORDER","1"
"BOLD:AAE9581","Dendrobatidae","UNRANKED","1"
"Boana xerophylla (Duméril & Bibron, 1841)","Hylidae","SPECIES","1"
"Teratohyla Taylor, 1951","Centrolenidae","GENUS","1"
